participant_Id,average_heart_beat,Min_heart_beat,Max_heart_beat
2022484408,80.236859523438326,38,203
2026352035,93.776305220883572,63,125
2347167796,76.722791666395352,49,195
4020332650,82.3005769614781,46,191
4388161847,66.1329980620479,39,180
4558609924,81.673946754922184,44,199
5553957443,68.633093496986135,47,165
5577150313,69.564515609912462,36,174
6117666160,83.749891440472851,52,189
6775888955,92.029629855665831,55,177
6962181067,77.724044967445309,47,184
7007744171,91.123794838014959,54,166
8792009665,72.487483820549429,43,158
8877689391,83.611184184652586,46,180
